(*i).x    (*i).y    (*i).heading(*(i+1))    deg    (*i).yaw    deg-(*i).yaw
2651    5088    2.39859    137.429    189.6    127.829
2730    5002    2.41069    138.122    189.1    129.022
2808    4915    2.39859    137.429    189.1    128.329
2887    4829    2.41636    138.447    188.9    129.547
2965    4741    2.39809    137.4    189    128.4
3045    4654    2.41003    138.085    189.4    128.685
3124    4566    2.40378    137.726    189.3    128.426
3204    4478    2.4094    138.048    188.5    129.548
3284    4389    2.39759    137.372    189.2    128.172
3365    4301    2.39711    137.344    190.3    127.044
3447    4212    2.41495    138.366    189    129.366
3527    4122    2.40494    137.793    188.6    129.193
3605    4036    2.40554    137.827    188.8    129.027
3682    3951    2.41274    138.24    189    129.24
3757    3867    2.40554    137.827    188.8    129.027
3834    3782    2.40554    137.827    189.3    128.527
3911    3697    2.39809    137.4    189.4    128
3991    3610    2.40378    137.726    188.9    128.826
4071    3522    2.39809    137.4    189.6    127.8
4151    3435    2.40378    137.726    189.3    128.426
4231    3347    2.41069    138.122    189.3    128.822
4309    3260    2.40554    137.827    189.1    128.727
4386    3175    2.40615    137.862    188.7    129.162
4462    3091    2.40019    137.521    189.2    128.321
4538    3008    2.40378    137.726    189.2    128.526
4618    2920    2.40322    137.694    188.9    128.794
4699    2831    2.40494    137.793    189.2    128.593
4777    2745    2.41636    138.447    189.5    128.947
4855    2657    2.39809    137.4    188    129.4
4935    2570    2.41709    138.489    189.1    129.389
5012    2483    2.41069    138.122    188.7    129.422
5090    2396    2.41135    138.16    188.8    129.36
5167    2310    2.40615    137.862    189.1    128.762
5243    2226    2.39415    137.175    189.5    127.675
5319    2144    2.40322    137.694    189.3    128.394
5400    2055    2.40678    137.899    188.9    128.999
5475    1972    2.40678    137.899    189.2    128.699
5550    1889    2.41274    138.24    189    129.24
5625    1805    2.38763    136.801    188.8    128.001
5702    1723    2.41274    138.24    189.8    128.44
5777    1639    2.40615    137.862    189.2    128.662
5853    1555    2.39859    137.429    188.9    128.529
5932    1469    2.39859    137.429    189.8    127.629
6011    1383    2.41135    138.16    189.4    128.76
6088    1297    2.39911    137.459    188.6    128.859
6166    1212    2.39965    137.49    189.3    128.19
6243    1128    2.41204    138.2    189.8    128.4
6319    1043    2.39911    137.459    188.2    129.259
6397    958    2.40322    137.694    189.1    128.594
6478    869    2.40554    137.827    189.8    128.027
6555    784    2.40435    137.759    189.7    128.059
6634    697    2.41495    138.366    188.5    129.866
6714    607    2.40322    137.694    188.8    128.894
6795    518    2.40378    137.726    189.4    128.326
6875    430    2.41003    138.085    189.1    128.985
6954    342    2.41003    138.085    189.1    128.985
7033    254    2.40435    137.759    189.1    128.659
7112    167    2.39232    137.07    189.5    127.57
7192    81    2.35619    135    188.9    126.1
7273    0    1.56145    89.4645    207.3    62.1645
7380    1    0.901439    51.6486    264.4    32.7514
7471    73    0.26705    15.3008    280    84.6992
7500    179    5.84709    335.014    339.8    175.214
7452    282    5.63076    322.619    0.3    142.319
7384    371    5.566    318.909    7.1    131.809
7309    457    5.54713    317.827    8.5    129.327
7232    542    5.54178    317.521    9.1    128.421
7156    625    5.54124    317.49    10.2    127.29
7079    709    5.54234    317.553    9.5    128.053
7004    791    5.54537    317.726    9.3    128.426
6924    879    5.55163    318.085    9    129.085
6845    967    5.54481    317.694    8.9    128.794
6764    1056    5.54124    317.49    9.2    128.29
6687    1140    5.53481    317.121    9.7    127.421
6609    1224    5.55295    318.16    8.6    129.56
6532    1310    5.54653    317.793    9.6    128.193
6454    1396    5.55163    318.085    8.9    129.185
6375    1484    5.53918    317.372    9.1    128.272
6294    1572    5.53574    317.175    9.5    127.675
6218    1654    5.54775    317.862    9.4    128.462
6142    1738    5.53527    317.148    9.1    128.048
6065    1821    5.54537    317.726    9.5    128.226
5985    1909    5.55724    318.406    8.9    129.506
5906    1998    5.54594    317.759    8.9    128.859
5827    2085    5.55228    318.122    9.2    128.922
5749    2172    5.54594    317.759    9    128.759
5670    2259    5.54019    317.429    8.7    128.729
5591    2345    5.54653    317.793    9.9    127.893
5513    2431    5.54713    317.827    9.4    128.427
5436    2516    5.54537    317.726    8.5    129.226
5356    2604    5.55228    318.122    8.5    129.622
5278    2691    5.54537    317.726    8.8    128.926
5198    2779    5.54537    317.726    8.7    129.026
5118    2867    5.55433    318.24    9.4    128.84
5043    2951    5.54653    317.793    9.2    128.593
4965    3037    5.53918    317.372    9.5    127.872
4884    3125    5.53918    317.372    9.6    127.772
4803    3213    5.55228    318.122    9    129.122
4725    3300    5.55363    318.2    9.2    129
4649    3385    5.55295    318.16    8.9    129.26
4572    3471    5.55163    318.085    8.8    129.285
4493    3559    5.54838    317.899    8.9    128.999
4418    3642    5.54178    317.521    9.2    128.321
4342    3725    5.5387    317.344    9.3    128.044
4260    3814    5.54537    317.726    9.7    128.026
4180    3902    5.55163    318.085    8.9    129.185
4101    3990    5.53918    317.372    9.1    128.272
4020    4078    5.54071    317.459    9.2    128.259
3942    4163    5.55433    318.24    9.3    128.94
3867    4247    5.55099    318.048    8.5    129.548
3787    4336    5.54537    317.726    9.6    128.126
3707    4424    5.55163    318.085    9.1    128.985
3628    4512    5.54594    317.759    8.6    129.159
3549    4599    5.55295    318.16    8.8    129.36
3472    4685    5.55163    318.085    9    129.085
3393    4773    5.54178    317.521    8.6    128.921
3317    4856    5.54713    317.827    9.2    128.627
3240    4941    5.54653    317.793    8.9    128.893
3162    5027    5.54653    317.793    9.4    128.393
3084    5113    5.54071    317.459    8.6    128.859
3006    5198    5.54594    317.759    9.7    128.059
2927    5285    5.54019    317.429    9.3    128.129
2848    5371    5.54713    317.827    9.3    128.527
2771    5456    5.54713    317.827    8.9    128.927
2694    5541    5.54653    317.793    9.5    128.293
2616    5627    5.55796    318.447    8.2    130.247
2538    5715    5.54178    317.521    8.5    129.021
2462    5798    5.54775    317.862    9.2    128.662
2386    5882    5.54124    317.49    9.4    128.09
2309    5966    5.54775    317.862    9.4    128.462
2233    6050    5.53918    317.372    9.4    127.972
2152    6138    5.54594    317.759    9.3    128.459
2073    6225    5.54594    317.759    9    128.759
1994    6312    5.54019    317.429    9.3    128.129
1915    6398    5.55163    318.085    9.5    128.585
1836    6486    5.54594    317.759    8.9    128.859
1757    6573    5.54653    317.793    9    128.793
1679    6659    5.54775    317.862    9.2    128.662
1603    6743    5.54713    317.827    8.9    128.927
1526    6828    5.54594    317.759    8.9    128.859
1447    6915    5.54594    317.759    9.4    128.359
1368    7002    5.53349    317.045    10.1    126.945
1287    7089    5.54838    317.899    9    128.899
1212    7172    5.54775    317.862    9.6    128.262
1136    7256    5.55363    318.2    8.7    129.5
1060    7341    5.54713    317.827    8.7    129.127
983    7426    5.54124    317.49    9    128.49
906    7510    5.54775    317.862    9.6    128.262
830    7594    5.55433    318.24    8.6    129.64
755    7678    5.55433    318.24    8.9    129.34
680    7762    5.54481    317.694    9.1    128.594
599    7851    5.54537    317.726    9    128.726
519    7939    5.55228    318.122    9.2    128.922
441    8026    5.55163    318.085    8.7    129.385
362    8114    5.54594    317.759    9.5    128.259
283    8201    5.60844    321.34    8.9    132.44
211    8291    0.144442    8.27589    349.8    161.524
227    8401    0.810085    46.4144    290.2    63.7856
310    8480    1.48688    85.192    275.5    10.308
417    8489    2.11427    121.139    215.6    85.539
513    8431    2.32626    133.285    198.2    115.085
599    8350    2.39809    137.4    191    126.4
679    8263    2.41003    138.085    189.1    128.985
758    8175    2.39859    137.429    190.1    127.329
837    8089    2.40435    137.759    188.9    128.859
916    8002    2.40435    137.759    189.2    128.559
995    7915    2.4094    138.048    189.3    128.748
1075    7826    2.4094    138.048    188.8    129.248
1155    7737    2.39759    137.372    189.4    127.972
1236    7649    2.40378    137.726    189.2    128.526
1316    7561    2.40378    137.726    189.3    128.426
1396    7473    2.40378    137.726    188.9    128.826
1476    7385    2.4094    138.048    189    129.048
1556    7296    2.40322    137.694    189.3    128.394
1637    7207    2.39809    137.4    189.5    127.9
1717    7120    2.39759    137.372    189.3    128.072
1798    7032    2.40678    137.899    189.3    128.599
1873    6949    2.40678    137.899    189.1    128.799
1948    6866    2.40615    137.862    189.4    128.462
2024    6782    2.39965    137.49    189.3    128.19
2101    6698    2.41204    138.2    188.9    129.3
2177    6613    2.39965    137.49    189    128.49
2254    6529    2.40554    137.827    189.4    128.427
2331    6444    2.40554    137.827    189.2    128.627
2408    6359    2.40554    137.827    188.9    128.927
2485    6274    2.41135    138.16    189.2    128.96
2562    6188    2.40494    137.793    188.9    128.893
2640    6102    2.39321    137.121    189.2    127.921
2718    6018    2.41204    138.2    189.4    128.8
2794    5933    2.40554    137.827    189    128.827
2871    5848    2.40494    137.793    189.3    128.493
2949    5762    2.40435    137.759    189.2    128.559
3028    5675    2.39859    137.429    189    128.429
3107    5589    2.40554    137.827    189.2    128.627
3184    5504    2.41204    138.2    189    129.2
3260    5419    2.40554    137.827    188.8    129.027
3337    5334    2.41204    138.2    189    129.2
3413    5249    2.40615    137.862    189    128.862
3489    5165    2.40678    137.899    189.1    128.799
3564    5082    2.40019    137.521    189.3    128.221
3640    4999    2.41274    138.24    188.7    129.54
3715    4915    2.39965    137.49    188.8    128.69
3792    4831    2.39911    137.459    189.4    128.059
3870    4746    2.40494    137.793    189.6    128.193
3948    4660    2.39859    137.429    189    128.429
4027    4574    2.40494    137.793    189.7    128.093
4105    4488    2.41069    138.122    188.9    129.222
4183    4401    2.39809    137.4    189.1    128.3
4263    4314    2.39759    137.372    189.6    127.772
4344    4226    2.41495    138.366    188.7    129.666
4424    4136    2.40378    137.726    188.8    128.926
4504    4048    2.41069    138.122    188.9    129.222
4582    3961    2.39911    137.459    188.8    128.659
4660    3876    2.39859    137.429    189.7    127.729
4739    3790    2.40378    137.726    189.2    128.526
4819    3702    2.41274    138.24    188.6    129.64
4894    3618    2.41204    138.2    189    129.2
4970    3533    2.40554    137.827    189.1    128.727
5047    3448    2.41204    138.2    189.1    129.1
5123    3363    2.39965    137.49    189    128.49
5200    3279    2.39911    137.459    189.4    128.059
5278    3194    2.41069    138.122    189.5    128.622
5356    3107    2.40378    137.726    188.1    129.626
5436    3019    2.39809    137.4    189.5    127.9
5516    2932    2.41003    138.085    189.3    128.785
5595    2844    2.39965    137.49    189.4    128.09
5672    2760    2.41636    138.447    189.1    129.347
5750    2672    2.41135    138.16    188.1    130.06
5827    2586    2.40554    137.827    189.2    128.627
5904    2501    2.39859    137.429    189.2    128.229
5983    2415    2.40494    137.793    189.8    127.993
6061    2329    2.40615    137.862    189.1    128.762
6137    2245    2.39368    137.148    189.3    127.848
6214    2162    2.41204    138.2    189.2    129
6290    2077    2.39759    137.372    188.6    128.772
6371    1989    2.39965    137.49    190    127.49
6448    1905    2.40554    137.827    189    128.827
6525    1820    2.41003    138.085    189.5    128.585
6604    1732    2.41495    138.366    188.6    129.766
6684    1642    2.40878    138.013    189.1    128.913
6765    1552    2.39809    137.4    190.1    127.3
6845    1465    2.40435    137.759    189.3    128.459
6924    1378    2.39859    137.429    188.8    128.629
7003    1292    2.41069    138.122    189.2    128.922
7081    1205    2.39232    137.07    189.6    127.47
7161    1119    2.41003    138.085    189.4    128.685
7240    1031    2.41204    138.2    189    129.2
7316    946    2.40615    137.862    189.3    128.562
7392    862    2.39321    137.121    188.5    128.621
7470    778    2.40615    137.862    189.6    128.262
7546    694    2.40554    137.827    188.9    128.927
7623    609    2.41135    138.16    188.6    129.56
7700    523    2.29218    131.332    188.7    122.632
7783    450    1.42236    81.4954    217.2    44.2954
7890    466    0.903888    51.789    269.8    38.011
7984    540    0.132552    7.59464    283.8    96.2054
7998    645    5.79583    332.076    345.3    166.776
7945    745    5.61107    321.491    2.4    139.091
7871    838    5.56021    318.576    8    130.576
7796    923    5.54178    317.521    9    128.521
7720    1006    5.54537    317.726    9.3    128.426
7640    1094    5.54537    317.726    9    128.726
7560    1182    5.53968    317.4    8.9    128.5
7480    1269    5.54537    317.726    9.3    128.426
7400    1357    5.54178    317.521    9.6    127.921
7324    1440    5.54775    317.862    9.3    128.562
7248    1524    5.54124    317.49    9    128.49
7171    1608    5.54124    317.49    9.5    127.99
7094    1692    5.54838    317.899    9    128.899
7019    1775    5.54481    317.694    9    128.694
6938    1864    5.55433    318.24    8.8    129.44
6863    1948    5.54775    317.862    9.1    128.762
6787    2032    5.54775    317.862    9.3    128.562
6711    2116    5.54713    317.827    8.8    129.027
6634    2201    5.53481    317.121    9.6    127.521
6556    2285    5.54653    317.793    9.7    128.093
6478    2371    5.54653    317.793    9.2    128.593
6400    2457    5.54071    317.459    9.4    128.059
6322    2542    5.55228    318.122    8.6    129.522
6244    2629    5.55163    318.085    8.8    129.285
6165    2717    5.53968    317.4    9.2    128.2
6085    2804    5.55163    318.085    8.8    129.285
6006    2892    5.53968    317.4    9    128.4
5926    2979    5.55099    318.048    9.5    128.548
5846    3068    5.54481    317.694    8.7    128.994
5765    3157    5.54838    317.899    9.1    128.799
5690    3240    5.54178    317.521    9.3    128.221
5614    3323    5.54178    317.521    9.6    127.921
5538    3406    5.56021    318.576    8.9    129.676
5463    3491    5.55654    318.366    8.8    129.566
5383    3581    5.54071    317.459    8.8    128.659
5305    3666    5.53574    317.175    9.7    127.475
5229    3748    5.55724    318.406    9.1    129.306
5150    3837    5.53392    317.07    8.8    128.27
5070    3923    5.55295    318.16    9.3    128.86
4993    4009    5.54178    317.521    8.7    128.821
4917    4092    5.54838    317.899    9.1    128.799
4842    4175    5.54775    317.862    9    128.862
4766    4259    5.54653    317.793    8.7    129.093
4688    4345    5.54537    317.726    9    128.726
4608    4433    5.54071    317.459    8.7    128.759
4530    4518    5.55099    318.048    9.3    128.748
4450    4607    5.53968    317.4    9.5    127.9
4370    4694    5.54124    317.49    9.3    128.19
4293    4778    5.54713    317.827    9.4    128.427
4216    4863    5.55363    318.2    8.2    130
4140    4948    5.54775    317.862    9.1    128.762
4064    5032    5.55099    318.048    9.2    128.848
3984    5121    5.54594    317.759    8.9    128.859
3905    5208    5.54653    317.793    9.4    128.393
3827    5294    5.54594    317.759    9    128.759
3748    5381    5.55163    318.085    8.9    129.185
3669    5469    5.55037    318.013    9    129.013
3588    5559    5.54234    317.553    9.2    128.353
3513    5641    5.54178    317.521    9.3    128.221
3437    5724    5.54775    317.862    9.4    128.462
3361    5808    5.54775    317.862    9    128.862
3285    5892    5.54178    317.521    9.4    128.121
3209    5975    5.54234    317.553    9.4    128.153
3134    6057    5.54775    317.862    9    128.862
