(*i).x    (*i).y    (*i).heading(*(i+1))    deg    (*i).yaw    deg-(*i).yaw
4533    2657    1.3597    77.9052    250.8    7.10524
4645    2681    1.36152    78.0092    248.8    9.20917
4758    2705    1.36152    78.0092    249.2    8.80917
4871    2729    1.36152    78.0092    248.8    9.20917
4984    2753    1.37171    78.5934    248.7    9.89345
5098    2776    1.36505    78.2118    248.6    9.61182
5213    2800    1.36847    78.4078    249    9.40782
5330    2824    1.36029    77.9387    249    8.93869
5447    2849    1.37014    78.5034    248.8    9.70344
5565    2873    1.36029    77.9387    249.2    8.73869
5682    2898    1.35853    77.8378    248.9    8.9378
5798    2923    1.36678    78.3106    249    9.31063
5914    2947    1.36505    78.2118    248.9    9.31182
6029    2971    1.3633    78.1113    249.1    9.01134
6143    2995    1.36505    78.2118    249    9.21182
6258    3019    1.3633    78.1113    248.5    9.61134
6372    3043    1.36505    78.2118    248.8    9.41182
6487    3067    1.36152    78.0092    248.8    9.20917
6600    3091    1.36152    78.0092    248.7    9.30917
6713    3115    1.36152    78.0092    249.1    8.90917
6826    3139    1.37    78.4952    248.8    9.69518
6939    3162    1.3597    77.9052    248.5    9.40524
7051    3186    1.36152    78.0092    249.2    8.80917
7164    3210    1.36505    78.2118    248.8    9.41182
7279    3234    1.35853    77.8378    249.1    8.7378
7395    3259    1.36678    78.3106    248.8    9.51063
7511    3283    1.36202    78.0379    248.6    9.43795
7629    3308    1.36847    78.4078    248.7    9.70782
7746    3332    1.35853    77.8378    248.8    9.0378
7862    3357    1.3633    78.1113    248.8    9.31134
7976    3381    1.37    78.4952    249.3    9.19518
8089    3404    1.3597    77.9052    248.6    9.30524
8201    3428    1.37    78.4952    248.7    9.79518
8314    3451    1.3633    78.1113    248.6    9.51134
8428    3475    1.35674    77.7352    248.6    9.13523
8543    3500    1.36847    78.4078    249    9.40782
8660    3524    1.35674    77.7352    249    8.73523
8775    3549    1.36678    78.3106    249    9.31063
8891    3573    1.35853    77.8378    248.5    9.3378
9007    3598    1.35853    77.8378    248.8    9.0378
9123    3623    1.36847    78.4078    249    9.40782
9240    3647    1.36847    78.4078    248.3    10.1078
9357    3671    1.36202    78.0379    248.9    9.13795
9475    3696    1.36202    78.0379    248.6    9.43795
9593    3721    1.36847    78.4078    248.8    9.60782
9710    3745    1.36505    78.2118    248.4    9.81182
9825    3769    1.36152    78.0092    249    9.00917
9938    3793    1.3633    78.1113    248.7    9.41134
10052    3817    1.3633    78.1113    248.6    9.51134
10166    3841    1.35853    77.8378    249.2    8.6378
10282    3866    1.36678    78.3106    248.9    9.41063
10398    3890    1.36678    78.3106    248.9    9.41063
10514    3914    1.36505    78.2118    248.8    9.41182
10629    3938    1.36505    78.2118    248.8    9.41182
10744    3962    1.36505    78.2118    248.8    9.41182
10859    3986    1.36152    78.0092    248.8    9.20917
10972    4010    1.3597    77.9052    249.1    8.80524
11084    4034    1.36152    78.0092    248.8    9.20917
11197    4058    1.36505    78.2118    249.1    9.11182
11312    4082    1.3633    78.1113    248.8    9.31134
11426    4106    1.35492    77.6309    249    8.63094
11540    4131    1.3633    78.1113    249    9.11134
11654    4155    1.36152    78.0092    248.5    9.50917
11767    4179    1.36152    78.0092    249    9.00917
11880    4203    1.3597    77.9052    248.9    9.00524
11992    4227    1.35118    77.417    249    8.41704
12104    4252    1.36678    78.3106    249.4    8.91063
12220    4276    1.3734    78.6901    247.9    10.7901
12330    4298    1.36648    78.2936    248.6    9.69356
12441    4321    1.36467    78.1901    248.7    9.49012
12551    4344    1.36202    78.0379    248.5    9.53795
12669    4369    1.36678    78.3106    248.9    9.41063
12785    4393    1.35853    77.8378    249    8.8378
12901    4418    1.36505    78.2118    248.9    9.31182
13016    4442    1.36505    78.2118    248.8    9.41182
13131    4466    1.35853    77.8378    248.7    9.1378
13247    4491    1.36505    78.2118    249.1    9.11182
13362    4515    1.36678    78.3106    248.8    9.51063
13478    4539    1.35853    77.8378    248.8    9.0378
13594    4564    1.35853    77.8378    249.1    8.7378
13710    4589    1.35853    77.8378    249    8.8378
13826    4614    1.35492    77.6309    248.9    8.73094
13940    4639    1.37    78.4952    249.1    9.39518
14053    4662    1.36152    78.0092    248.7    9.30917
14166    4686    1.3597    77.9052    248.8    9.10524
14278    4710    1.3633    78.1113    249.1    9.01134
14392    4734    1.56218    89.5061    248.9    20.6061
14508    4735    2.36885    135.725    212.4    103.325
14586    4655    3.00568    172.213    171.3    179.087
14602    4538    3.59375    205.907    142.3    116.393
14551    4433    4.27525    244.954    102.4    37.4462
14444    4383    4.58379    262.632    67    15.6319
14328    4368    4.56436    261.518    64.1    17.4184
14214    4351    4.54435    260.372    65.7    14.6718
14102    4332    4.52541    259.287    67.1    12.1869
13991    4311    4.51673    258.789    68.2    10.5894
13880    4289    4.49945    257.8    68.9    8.89953
13769    4265    4.49552    257.574    69.1    8.47406
13651    4239    4.50188    257.939    69.6    8.33869
13534    4214    4.4919    257.367    69.2    8.16664
13418    4188    4.50012    257.838    69.4    8.4378
13302    4163    4.50188    257.939    69.2    8.73869
13185    4138    4.50361    258.038    69    9.03795
13067    4113    4.49945    257.8    69    8.79953
12956    4089    4.5013    257.905    69    8.90524
12844    4065    4.49945    257.8    69    8.79953
12733    4041    4.49757    257.692    69.2    8.49198
12623    4017    4.50837    258.311    69.3    9.01063
12507    3993    4.49833    257.735    68.5    9.23523
12392    3968    4.50665    258.212    68.6    9.61182
12277    3944    4.50188    257.939    68.5    9.43869
12160    3919    4.50627    258.19    68.9    9.29012
12050    3896    4.50985    258.395    68.8    9.59524
11938    3873    4.50311    258.009    68.6    9.40917
11825    3849    4.49945    257.8    69.1    8.69953
11714    3825    4.50807    258.294    68.9    9.39356
11603    3802    4.50627    258.19    68.6    9.59012
11493    3779    4.49945    257.8    68.8    8.99953
11382    3755    4.5013    257.905    69    8.90524
11270    3731    4.50627    258.19    69    9.19012
11160    3708    4.49945    257.8    69.1    8.69953
11049    3684    4.50627    258.19    68.8    9.39012
10939    3661    4.50361    258.038    69    9.03795
10821    3636    4.50532    258.136    68.9    9.23561
10702    3611    4.50627    258.19    69    9.19012
10592    3588    4.50361    258.038    68.9    9.13795
10474    3563    4.49757    257.692    68.7    8.99198
10364    3539    4.50807    258.294    68.9    9.39356
10253    3516    4.50807    258.294    68.7    9.59356
10142    3493    4.50807    258.294    68.9    9.39356
10031    3470    4.49945    257.8    68.9    8.89953
9920    3446    4.5013    257.905    68.9    9.00524
9808    3422    4.51159    258.495    69.3    9.19518
9695    3399    4.5013    257.905    68.7    9.20524
9583    3375    4.50311    258.009    69.1    8.90917
9470    3351    4.51159    258.495    68.6    9.89518
9357    3328    4.5013    257.905    68.7    9.20524
9245    3304    4.5013    257.905    69.1    8.80524
9133    3280    4.50985    258.395    68.9    9.49524
9021    3257    4.50627    258.19    68.6    9.59012
8911    3234    4.50188    257.939    68.8    9.13869
8794    3209    4.50837    258.311    69    9.31063
8678    3185    4.51174    258.503    68.6    9.90344
8560    3161    4.49757    257.692    68.5    9.19198
